region,district,name,address,addressGmap,phone,time,type,link,imgName,lineUrl
北部地區,台北市,耳酷試聽間,110台北市信義區基隆路一段184-1號1F,耳酷試聽間,0986-276610,周ㄧ/週三/週五11:00-19:00,全系列品項,,acousdea.jpg,
北部地區,台北市,博亞藥局,110台北市信義區莊敬路462號,110台北市信義區莊敬路462號,(02)27580506,,耳舒適耳塞,,,
北部地區,台北市,探險家戶外用品,110台北市信義區忠孝東路五段536號,110台北市信義區忠孝東路五段536號,(02)23465700,,耳舒適耳塞,,,
北部地區,台北市,詠晴中西藥局 ,"110台北市信義區松山路484之4號,(捷運板南線-永春站4號出口)",110台北市信義區松山路484之4號,(02)27266890,,耳舒適耳塞|順睡-舒眠噴霧,,,
北部地區,台北市,立赫藥局(北醫店) ,110台北市信義區吳興街118巷26弄17號,110台北市信義區吳興街118巷26弄17號,(02)27320100,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,台北市,立赫藥局(永春店)/壹間藥師藥局,110台北市信義區虎林街120巷148號,110台北市信義區虎林街120巷148號,(02)27672833,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,台北市,立赫藥局(敦北店),105台北市松山區敦化北路222巷20號,105台北市松山區敦化北路222巷20號,(02)27199277,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,台北市,立赫藥局(民生店) ,105台北市松山區民生東路四段72號,105台北市松山區民生東路四段72號,(02)27139200,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,台北市,中美藥局,105 台北市松山區富錦街531號,105 台北市松山區富錦街531號,(02)27627468,,耳舒適耳塞,,,
北部地區,台北市,合生藥局,105台北市松山區南京東路五段123巷45號,105台北市松山區南京東路五段123巷45號,(02)27602932,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,台北市,唯康藥局,105台北市松山區八德路三段211號,105台北市松山區八德路三段211號,(02)25775000,,耳舒適耳塞,,,
北部地區,台北市,豐仁藥局,100台北市中正區寧波西街161號,100台北市中正區寧波西街161號,(02)23033908,,耳舒適耳塞,,,
北部地區,台北市,長頸鹿藥師藥局,100台北市中正區南昌路一段132號,100台北市中正區南昌路一段132號,(02)23962120,,耳舒適耳塞,,,
北部地區,台北市,立赫藥局(台大店),100台北市中正區公園路28號,100台北市中正區公園路28號,(02)23616162,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,台北市,立赫藥局(新生店) ,100台北市中正區新生南路一段16-2號,100台北市中正區新生南路一段16-2號,(02)33223231,,耳舒適耳塞|眼舒適眼罩,,,
北部地區,台北市,師大藥局,106台北市大安區師大路99號(捷運新店線-台電大樓站3號出口) ,師大藥局,(02)23623479,,耳舒適耳塞|眼舒適眼罩,,,
